Name,UserRating,Reviews,Price,Year
"Publication Manual of the American Psychological Association, 6th Edition",4.5,8580,46,2010
"Publication Manual of the American Psychological Association, 6th Edition",4.5,8580,46,2011
"Publication Manual of the American Psychological Association, 6th Edition",4.5,8580,46,2012
"Publication Manual of the American Psychological Association, 6th Edition",4.5,8580,46,2013
"Publication Manual of the American Psychological Association, 6th Edition",4.5,8580,46,2014
"Publication Manual of the American Psychological Association, 6th Edition",4.5,8580,46,2015
"Publication Manual of the American Psychological Association, 6th Edition",4.5,8580,46,2016
"Publication Manual of the American Psychological Association, 6th Edition",4.5,8580,46,2017
"Publication Manual of the American Psychological Association, 6th Edition",4.5,8580,46,2018
Puppy Birthday to You! (Paw Patrol) (Little Golden Book),4.8,4757,4,2017
Quiet: The Power of Introverts in a World That Can't Stop Talking,4.6,10009,20,2012
Quiet: The Power of Introverts in a World That Can't Stop Talking,4.6,10009,7,2013
Radical: Taking Back Your Faith from the American Dream,4.7,1985,9,2010
Radical: Taking Back Your Faith from the American Dream,4.7,1985,9,2011
Ready Player One: A Novel,4.6,22536,12,2017
Ready Player One: A Novel,4.6,22536,12,2018
Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),4.9,7150,12,2013
Rush Revere and the First Patriots: Time-Travel Adventures With Exceptional Americans (2),4.9,3836,12,2014
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",4.8,7802,20,2018
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",4.8,7802,20,2019
Sarah's Key,4.6,3619,10,2010
"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading…",4.8,23047,6,2018
"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading…",4.8,23047,6,2019
"Secret Garden: An Inky Treasure Hunt and Coloring Book (For Adults, mindfulness coloring)",4.7,9366,9,2015
Sh*t My Dad Says,4.7,1265,11,2010
Ship of Fools: How a Selfish Ruling Class Is Bringing America to the Brink of Revolution,4.8,3923,16,2018
Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes,4.1,2272,6,2013
Sookie Stackhouse,4.7,973,25,2009
"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual…",4.6,220,17,2013
Steve Jobs,4.6,7827,20,2011
Steve Jobs,4.6,7827,20,2012
Strange Planet (Strange Planet Series),4.9,9382,6,2019
StrengthsFinder 2.0,4,5069,17,2009
StrengthsFinder 2.0,4,5069,17,2010
StrengthsFinder 2.0,4,5069,17,2011
StrengthsFinder 2.0,4,5069,17,2012
StrengthsFinder 2.0,4,5069,17,2013
StrengthsFinder 2.0,4,5069,17,2014
StrengthsFinder 2.0,4,5069,17,2015
StrengthsFinder 2.0,4,5069,17,2016
StrengthsFinder 2.0,4,5069,17,2017
"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",4.5,1583,18,2009
Switch: How to Change Things When Change Is Hard,4.6,1907,13,2010
Sycamore Row (Jake Brigance),4.5,23114,18,2013
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,4.4,637,20,2010
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,4.4,637,20,2011
The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,4.3,2314,22,2011
"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",4.3,4587,21,2011
The 5 Love Languages: The Secret to Love That Lasts,4.7,3477,28,2010
The 5 Love Languages: The Secret to Love That Lasts,4.7,3477,28,2011
The 5 Love Languages: The Secret to Love That Lasts,4.7,3477,28,2012
The 5 Love Languages: The Secret to Love That Lasts,4.7,3477,28,2013
The 5 Love Languages: The Secret to Love That Lasts,4.7,3477,28,2014
The 5 Love Languages: The Secret to Love that Lasts,4.8,25554,8,2015
The 5 Love Languages: The Secret to Love that Lasts,4.8,25554,8,2016
The 5 Love Languages: The Secret to Love that Lasts,4.8,25554,8,2017
The 5 Love Languages: The Secret to Love that Lasts,4.8,25554,8,2018
The 5 Love Languages: The Secret to Love that Lasts,4.8,25554,8,2019
The 5000 Year Leap,4.8,1680,12,2009
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,4.6,9325,24,2009
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,4.6,9325,24,2011
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,4.6,9325,24,2012
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,4.6,9325,24,2013
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,4.7,4725,16,2015
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,4.7,4725,16,2016
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,4.7,4725,16,2017
The Alchemist,4.7,35799,39,2014
The Amateur,4.6,2580,9,2012
The Art of Racing in the Rain: A Novel,4.7,11813,10,2010
The Art of Racing in the Rain: A Novel,4.7,11813,10,2011
The Big Short: Inside the Doomsday Machine,4.7,3536,17,2010
The Blood of Olympus (The Heroes of Olympus (5)),4.8,6600,11,2014
"The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!",4.2,1789,14,2012
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",4.8,12361,12,2019
The Book of Basketball: The NBA According to The Sports Guy,4.7,858,53,2009
The Book Thief,4.6,23148,6,2013
The Book Thief,4.6,23148,6,2014
The Book with No Pictures,4.8,8081,8,2014
The Book with No Pictures,4.8,8081,8,2015
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,4.8,23358,12,2014
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,4.8,23358,12,2015
The Casual Vacancy,3.3,9372,12,2012
The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet…,4.7,4633,21,2011
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,4.3,13061,6,2018
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,4.3,13061,6,2019
The Confession: A Novel,4.3,3523,13,2010
The Constitution of the United States,4.8,2774,0,2016
The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,4.4,440,11,2010
The Day the Crayons Quit,4.8,8922,9,2013
The Day the Crayons Quit,4.8,8922,9,2014
The Day the Crayons Quit,4.8,8922,9,2015
"The Dukan Diet: 2 Steps to Lose the Weight, 2 Steps to Keep It Off Forever",4.1,2023,15,2011
The Elegance of the Hedgehog,4,1859,11,2009
The Fault in Our Stars,4.7,50482,13,2012
The Fault in Our Stars,4.7,50482,13,2013
The Fault in Our Stars,4.7,50482,7,2014
The Fault in Our Stars,4.7,50482,13,2014
The Five Dysfunctions of a Team: A Leadership Fable,4.6,3207,6,2009
The Five Dysfunctions of a Team: A Leadership Fable,4.6,3207,6,2010
The Five Dysfunctions of a Team: A Leadership Fable,4.6,3207,6,2011
The Five Dysfunctions of a Team: A Leadership Fable,4.6,3207,6,2012
The Five Dysfunctions of a Team: A Leadership Fable,4.6,3207,6,2013
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,4.6,803,9,2009
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),4.7,23308,6,2013
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),4.7,23308,6,2015
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),4.7,23308,6,2016
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),4.7,23308,6,2017
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),4.7,23308,6,2018
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),4.7,23308,6,2019
The Getaway,4.8,5836,0,2017
The Girl on the Train,4.1,79446,18,2015
The Girl on the Train,4.1,79446,7,2016
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),4.7,7747,14,2010
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),4.7,7747,14,2011
The Girl Who Played with Fire (Millennium Series),4.7,7251,9,2010
The Girl Who Played with Fire (Millennium),4.7,7251,16,2009
The Girl with the Dragon Tattoo (Millennium Series),4.4,10559,2,2009
The Girl with the Dragon Tattoo (Millennium Series),4.4,10559,2,2010
The Going-To-Bed Book,4.8,5249,5,2016
The Going-To-Bed Book,4.8,5249,5,2017
The Goldfinch: A Novel (Pulitzer Prize for Fiction),3.9,33844,20,2013
The Goldfinch: A Novel (Pulitzer Prize for Fiction),3.9,33844,20,2014
The Great Gatsby,4.4,11616,7,2012
The Great Gatsby,4.4,11616,7,2013
The Great Gatsby,4.4,11616,7,2014
The Guardians: A Novel,4.5,13609,14,2019
The Guernsey Literary and Potato Peel Pie Society,4.7,8587,10,2009
The Handmaid's Tale,4.3,29442,7,2017
The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,4.6,11098,13,2012
The Hate U Give,4.8,9947,11,2018
The Help,4.8,13871,6,2009
The Help,4.8,13871,6,2010
The Help,4.8,13871,8,2011
The Help,4.8,13871,7,2011
"The House of Hades (Heroes of Olympus, Book 4)",4.8,6982,14,2013
The Hunger Games,4.7,32122,14,2010
The Hunger Games (Book 1),4.7,32122,8,2011
The Hunger Games (Book 1),4.7,32122,8,2012
The Hunger Games Trilogy Boxed Set (1),4.8,16949,30,2011
The Hunger Games Trilogy Boxed Set (1),4.8,16949,30,2012
The Immortal Life of Henrietta Lacks,4.7,9289,13,2010
The Immortal Life of Henrietta Lacks,4.7,9289,9,2011
The Immortal Life of Henrietta Lacks,4.7,9289,9,2012
The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,4.3,7368,7,2017
The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,4.3,7368,7,2018
The Last Lecture,4.7,4028,9,2009
"The Last Olympian (Percy Jackson and the Olympians, Book 5)",4.8,4628,7,2009
"The Last Olympian (Percy Jackson and the Olympians, Book 5)",4.8,4628,7,2010
The Legend of Zelda: Hyrule Historia,4.9,5396,20,2013
The Lego Ideas Book: Unlock Your Imagination,4.4,4247,13,2011
The Lego Ideas Book: Unlock Your Imagination,4.4,4247,13,2012
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,4.5,22641,11,2015
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,4.5,22641,11,2016
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,4.5,22641,11,2017
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,4.5,22641,11,2019
The Litigators,4.4,6222,18,2011
"The Lost Hero (Heroes of Olympus, Book 1)",4.8,4506,14,2010
The Lost Symbol,4.2,8747,19,2009
The Love Dare,4.8,1655,13,2009
The Magnolia Story,4.9,7861,5,2016
"The Mark of Athena (Heroes of Olympus, Book 3)",4.8,6247,10,2012
The Martian,4.7,39459,9,2015
The Maze Runner (Book 1),4.5,10101,8,2014
The Meltdown (Diary of a Wimpy Kid Book 13),4.8,5898,8,2018
The Mueller Report,4.6,2744,12,2019
The Nightingale: A Novel,4.8,49288,11,2015
The Nightingale: A Novel,4.8,49288,11,2016
The Official SAT Study Guide,4.4,1201,40,2010
The Official SAT Study Guide,4.4,1201,40,2011
The Official SAT Study Guide,4.4,1201,40,2012
The Official SAT Study Guide,4.4,1201,40,2013
The Official SAT Study Guide,4.4,1201,40,2014
"The Official SAT Study Guide, 2016 Edition (Official Study Guide for the New Sat)",4.3,807,36,2016
The Paris Wife: A Novel,4.3,3759,16,2011
"The Pioneer Woman Cooks: A Year of Holidays: 140 Step-by-Step Recipes for Simple, Scrumptious Celebrations",4.8,2663,17,2013
"The Pioneer Woman Cooks: Dinnertime - Comfort Classics, Freezer Food, 16-minute Meals, and Other Delicious Ways to Solve…",4.8,3428,14,2015
The Pioneer Woman Cooks: Food from My Frontier,4.8,2876,21,2012
"The Plant Paradox Cookbook: 100 Delicious Recipes to Help You Lose Weight, Heal Your Gut, and Live Lectin-Free",4.5,3601,18,2018
"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain",4.4,7058,17,2018
The Pout-Pout Fish,4.8,9784,5,2017
The Pout-Pout Fish,4.8,9784,5,2018
The Power of Habit: Why We Do What We Do in Life and Business,4.6,10795,21,2012
The President Is Missing: A Novel,4.3,10191,18,2018
The Racketeer,4.3,14493,18,2012
"The Red Pyramid (The Kane Chronicles, Book 1)",4.6,2186,12,2010
"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)",4.6,1204,14,2010
"The Serpent's Shadow (The Kane Chronicles, Book 3)",4.8,2091,12,2012
The Shack: Where Tragedy Confronts Eternity,4.6,19720,8,2009
The Shack: Where Tragedy Confronts Eternity,4.6,19720,8,2017
The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),4.6,2122,0,2010
The Silent Patient,4.5,27536,14,2019
"The Son of Neptune (Heroes of Olympus, Book 2)",4.8,4290,10,2011
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,4.6,26490,15,2017
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,4.6,26490,15,2018
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,4.6,26490,15,2019
The Sun and Her Flowers,4.7,5487,9,2017
"The Third Wheel (Diary of a Wimpy Kid, Book 7)",4.7,6377,7,2012
"The Throne of Fire (The Kane Chronicles, Book 2)",4.7,1463,10,2011
The Time Traveler's Wife,4.4,3759,6,2009
The Tipping Point: How Little Things Can Make a Big Difference,4.4,3503,9,2009
The Total Money Makeover: Classic Edition: A Proven Plan for Financial Fitness,4.7,11550,10,2019
The Twilight Saga Collection,4.7,3801,82,2009
"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",4.8,3796,12,2010
The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes for…,4.7,9030,10,2019
The Very Hungry Caterpillar,4.9,19546,5,2013
The Very Hungry Caterpillar,4.9,19546,5,2014
The Very Hungry Caterpillar,4.9,19546,5,2015
The Very Hungry Caterpillar,4.9,19546,5,2016
The Very Hungry Caterpillar,4.9,19546,5,2017
The Very Hungry Caterpillar,4.9,19546,5,2018
The Very Hungry Caterpillar,4.9,19546,5,2019
The Whole30: The 30-Day Guide to Total Health and Food Freedom,4.6,7508,16,2015
The Whole30: The 30-Day Guide to Total Health and Food Freedom,4.6,7508,16,2016
The Whole30: The 30-Day Guide to Total Health and Food Freedom,4.6,7508,16,2017
The Wonderful Things You Will Be,4.9,8842,10,2016
The Wonderful Things You Will Be,4.9,8842,10,2017
The Wonderful Things You Will Be,4.9,8842,10,2018
The Wonderful Things You Will Be,4.9,8842,10,2019
The Wonky Donkey,4.8,30183,4,2018
The Wonky Donkey,4.8,30183,4,2019
The Wright Brothers,4.7,6169,16,2015
"Things That Matter: Three Decades of Passions, Pastimes and Politics [Deckled Edge]",4.7,7034,15,2013
"Thinking, Fast and Slow",4.6,11034,19,2011
"Thinking, Fast and Slow",4.6,11034,19,2012
Thirteen Reasons Why,4.5,7932,9,2017
Thomas Jefferson: The Art of Power,4.5,1904,23,2012
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,4.3,3319,11,2009
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,4.3,3319,11,2010
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),4.6,11128,23,2014
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),4.6,11128,23,2015
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),4.6,11128,23,2016
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),4.6,11128,23,2017
Tina Fey: Bossypants,4.3,5977,12,2011
To Kill a Mockingbird,4.8,26234,0,2013
To Kill a Mockingbird,4.8,26234,0,2014
To Kill a Mockingbird,4.8,26234,0,2015
To Kill a Mockingbird,4.8,26234,0,2016
To Kill a Mockingbird,4.8,26234,7,2019
"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",4.6,4360,21,2017
"Towers of Midnight (Wheel of Time, Book Thirteen)",4.8,2282,21,2010
True Compass: A Memoir,4.5,438,15,2009
"Twilight (The Twilight Saga, Book 1)",4.7,11676,9,2009
Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers,4.5,2586,5,2014
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",4.8,29673,16,2010
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",4.8,29673,16,2011
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",4.8,29673,16,2012
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",4.8,29673,13,2014
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",4.8,29673,16,2014
Under the Dome: A Novel,4.3,6740,20,2009
Unfreedom of the Press,4.9,5956,11,2019
Unicorn Coloring Book: For Kids Ages 4-8 (US Edition) (Silly Bear Coloring Books),4.8,6108,4,2019
"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely",4.7,4585,9,2016
Watchmen,4.8,3829,42,2009
Water for Elephants: A Novel,4.5,8958,12,2011
What Happened,4.6,5492,18,2017
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,4.7,9292,17,2014
What Pet Should I Get? (Classic Seuss),4.7,1873,14,2015
What Should Danny Do? (The Power to Choose Series),4.8,8170,13,2019
What to Expect When You're Expecting,4.4,3341,9,2011
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",4.4,7497,6,2012
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",4.4,7497,6,2013
When Breath Becomes Air,4.8,13779,14,2016
Where the Crawdads Sing,4.8,87841,15,2019
Where the Wild Things Are,4.8,9967,13,2009
Whose Boat Is This Boat?: Comments That Don't Help in the Aftermath of a Hurricane,4.6,6669,12,2018
Wild: From Lost to Found on the Pacific Crest Trail,4.4,17044,18,2012
Winter of the World: Book Two of the Century Trilogy,4.5,10760,15,2012
Women Food and God: An Unexpected Path to Almost Everything,4.2,1302,11,2010
Wonder,4.8,21625,9,2013
Wonder,4.8,21625,9,2014
Wonder,4.8,21625,9,2015
Wonder,4.8,21625,9,2016
Wonder,4.8,21625,9,2017
Wrecking Ball (Diary of a Wimpy Kid Book 14),4.9,9413,8,2019
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,4.7,14331,8,2016
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,4.7,14331,8,2017
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,4.7,14331,8,2018
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,4.7,14331,8,2019
